000012550000000001	1	587540166	4905-1384739	745	3	34603557	4	2	14327122000100	ALUBAM PARTICIPACOES						0	
000012550000000002	2	587540166	5006-8101484													0	
000012550000000003	3	1	0034-8201406	745	3	34603557	4	2	14327122000100	ALIBAM PARTICIPACOES						0	
000012550000000004	4	1	0198-2938560					2	14327122000100	ALUBAM PARTICIPACOES						0	
000012550000000005	5	154378	5009-2404898	745	1	1458990		2	33479023000180	CITIBANK SA						0	
000012550000000006	6	24620	5422-0011445													0	
000012550000000007	7	117495500	0809-5002501													0	
000012550000000008	8	306677	1098-1002901													0	
000012550000000009	9	122374800	1140-1002901													0	
000012550000000010	10	24150	5039-0012016													0	
000012550000000011	11	437500	5203-3207077	341	2954	138851	1	2	14327122000100	BEXCELL AUDITORES INDEPENDENTES LTD						0	
000012550000000012	11	175000	5203-3207077	33	3848	130000674	1	2	14327122000100	INSTITUTO MAIS AINDA SC						0	
000012550000000013	12	29231	5422-0000202													0	
000012550000000014	13	90623	5422-0000202													0	
000012550000000015	14	336808	0773-1801082													0	
000012550000000016	15	3420	0196-4456701													0	
000012550000000017	16	24620	5203-4610864	399	1322	110737	1	2	17311420000191	GENEVE INVESTIMENTOS LTDA						0	
000012550000000018	17	1239	5422-0000202													0	
000012550000000019	18	400000	5203-4790701	399	1322	110737	1	2	17311420000191	GENEVE INVESTIMENTOS LTDA						0	
000012550000000020	19	470752	0196-6053029													0	
000012550000000021	20	400000	1169-9499461	399	1322	13220110737	1	2	17311420000191	GENEVE INVESTIMENTOS LTDA						0	
000012550000000022	21	24620	5422-0014303													0	
000012550000000023	22	2027904	0773-4601012													0	
000012550000000024	23	437500	5203-8146928	341	2954	138851	1	2	14327122000100	BEXCELL AUDITORES INDEPENDENTES LTD						0	
000012550000000025	23	175000	5203-8146928	33	3848	130000674	1	2	14327122000100	INSTITUTO MAIS AINDA SC						0	
000012550000000026	24	7386	5422-0000202													0	
000012550000000027	25	22897	5422-0000202													0	
000012550000000028	26	336808	0773-4702466													0	
000012550000000029	27	8750	5039-0022016													0	
000012550000000030	28	4001	5422-0000202													0	
000012550000000031	29	19390	5422-0000202													0	
000012550000000032	30	559140	0196-0458028													0	
000012550000000033	31	314403	5009-2123704	745	1	1458990		2	33479023000180	CITIBANK SA						0	
000012550000000034	32	24620	5422-0018519													0	
000012550000000035	33	112219600	0809-4002201													0	
000012550000000036	34	279903	1098-5002501													0	
000012550000000037	35	117495500	1140-5002501													0	
000012550000000038	36	6900	5039-0032016													0	
000012550000000039	37	558084	5203-2761112	341	7337	53883	1	2	14327122000100	GDC PARTNERS SERVICOS FINDUCIARIOS						0	
000012550000000040	37	175000	5203-2761112	33	3848	130000674	1	2	14327122000100	INSTITUTO MAIS AINDA SC						0	
000012550000000041	38	23559	5422-0000202													0	
000012550000000042	39	73032	5422-0000202													0	
000012550000000043	40	336808	0773-7603100													0	
000012550000000044	41	1054021	0196-3534395													0	
000012550000000045	42	437500	5203-3534394	341	2954	138851	1	2	16454568000112	BEXCELL AUDITORES INDEPENDENTES LTD						0	
000012550000000046	43	1399	5422-0000202													0	
000012550000000047	44	8610	5422-0000202													0	
000012550000000048	45	470752	0196-5111099													0	
000012550000000049	46	24620	0123-0022866													0	
000012550000000050	47	162389	5009-6841738	745	1	1458990		2	33479023000180	CITIBANK SA						0	
000012550000000051	47	2700	5009-6841738	745	1	1458990		2	33479023000180	CITIBANK SA						0	
000012550000000052	48	7500	5039-0042016													0	
000012550000000053	49	437500	5203-7827575	341	2954	138851	1	2	16454568000112	BEXCELL AUDITORES INDEPENDENTES LTD						0	
000012550000000054	50	31756	5422-0000202													0	
000012550000000055	51	98445	5422-0000202													0	
000012550000000056	52	336808	0773-1104018													0	
000012550000000057	53	175000	5203-9197243	33	3848	130000674	1	2	04931208000185	INSTITUTO MAIS AINDA SC						0	
000012550000000058	54	2915	5422-0000202													0	
000012550000000059	55	495528	0196-0348292													0	
000012550000000060	56	163847	5009-1585037	745	1	1458990		2	33479023000180	CITIBANK SA						0	
000012550000000061	57	107402200	0809-1002301													0	
000012550000000062	58	267310	1098-4002201													0	
000012550000000063	59	112219600	1140-4002201													0	
000012550000000064	60	24620	0123-0028263													0	
000012550000000065	61	2700	1169-3819951	399	1322	13220110273	1	2	17426229000195	XNICE PARTICIPACOES SA						0	
000012550000000066	62	175000	5203-2683678	33	3848	130000674	1	2	04931208000185	INSTITUTO MAIS AINDA SC						0	
000012550000000067	63	15306	5422-0000202													0	
000012550000000068	64	47449	5422-0000202													0	
000012550000000069	65	1843840	1169-3957167	237	606	36129	1	2	15537729000179	UPIARA EMPREENDIMENTOS E PARTICIPACOES S						0	
000012550000000070	66	1899155	1169-3957168	237	606	36129	1	2	15537729000179	UPIARA EMPREENDIMENTOS E PARTICIPACOES S						0	
000012550000000071	67	2417167	1169-3957169	237	606	36129	1	2	15537729000179	UPIARA EMPREENDIMENTOS E PARTICIPACOES S						0	
000012550000000072	68	2417167	1169-3973591	237	606	36129	1	2	15537729000179	UPIARA EMPREENDIMENTOS E PARTICIPACOES S						0	
000012550000000073	69	627669	0196-4216556													0	
000012550000000074	70	236479	5203-4216549	341	2954	138851	1	2	16454568000112	BEXCELL AUDITORES INDEPENDENTES LTD						0	
000012550000000075	71	1890	5422-0000202													0	
000012550000000076	72	8717	5422-0000202													0	
000012550000000077	73	167419	5009-8104737	745	1	1458990		2	33479023000180	CITIBANK SA						0	
000012550000000078	74	65730	5203-8104736	341	2954	138851	1	2	16454568000112	BEXCELL AUDITORES INDEPENDENTES LTD						0	
000012550000000079	75	10294500	0809-8002301													0	
000012550000000080	76	1843840	1169-5341763	237	606	36129	1	2	15537729000179	UPIARA EMPREENDIMENTOS E PARTICIPACOES S						0	
000012550000000081	77	2436988	1169-5341759	237	606	36129	1	2	15537729000179	UPIARA EMPREENDIMENTOS E PARTICIPACOES S						0	
000012550000000082	78	619955	5203-9002603	341	7337	53883	1	2	14327122000100	GDC PARTNERS SERVICOS FINDUCIARIOS						0	
000012550000000083	78	360000	5203-9002603	341	2954	138851	1	2	14327122000100	BEXCELL AUDITORES INDEPENDENTES LTD						0	
000012550000000084	78	175000	5203-9002603	33	3848	130000674	1	2	14327122000100	INSTITUTO MAIS AINDA SC						0	
000012550000000085	79	10032	5422-0000202													0	
000012550000000086	80	31099	5422-0000202													0	
000012550000000087	81	470752	0196-0538879													0	
000012550000000088	82	1887	5422-0000202													0	
000012550000000089	83	55753	5422-0000202													0	
000012550000000090	84	257320	5422-0000202													0	
000012550000000091	85	199683	1098-1002302													0	
000012550000000092	86	90825800	1140-1002302													0	
000012550000000093	87	218000000	1167-6040602	399	1322	13220110737	1	2	17311420000191	GENEVE INVESTIMENTOS LTDA						0	
000012550000000094	88	269500000	1167-6030932	399	1322	13220110737	1	2	17311420000191	GENEVE INVESTIMENTOS LTDA						0	
000012550000000095	89	587540166	5099-1384739	745	1	32938560		2	14327122000100	ALUBAM PARTICIPACOES SA						0	
000012550000000096	90	33201	5203-1513887	341	7337	53883	1	2	10749264000104	GDC PARTNERS SERVICOS FINDUCIARIOS						0	
000012550000000097	91	42529	1098-1002301													0	
000012550000000098	92	16576400	1140-1002301													0	
000012550000000099	93	20258	0123-0041198													0	
000012550000000100	94	159062	5009-3369540	745	1	1458990		2	33479023000180	CITIBANK SA						0	
000012550000000101	95	10337300	0809-0003201													0	
000012550000000102	96	1843840	1169-6918884	237	606	36129	1	2	15537729000179	UPIARA EMPREENDIMENTOS E PARTICIPACOES S						0	
000012550000000103	97	2478173	1169-6918890	237	606	36129	1	2	15537729000179	UPIARA EMPREENDIMENTOS E PARTICIPACOES S						0	
000012550000000104	98	360000	5203-4157173	341	2954	138851	1	2	14327122000100	BEXCELL AUDITORES INDEPENDENTES LTD						0	
000012550000000105	98	175000	5203-4157173	33	3848	130000674	1	2	14327122000100	INSTITUTO MAIS AINDA SC						0	
000012550000000106	99	13602	5422-0000202													0	
000012550000000107	100	42165	5422-0000202													0	
000012550000000108	101	29700	0196-4778708													0	
000012550000000109	102	322	1098-0003201													0	
000012550000000110	103	15710	1098-8002301													0	
000012550000000111	104	10294500	1140-8002301													0	
000012550000000112	105	10337300	1140-0003201													0	
000012550000000113	106	30618173	0198-4603557													0	
